iteration,successes,reward_episode,episode_count,random_act,timestep
101,69277,101,728,55578,13699
101,69378,101,729,55655,13723
101,69479,101,730,55729,13750
65,69544,65,731,55782,13762
101,69645,101,732,55863,13782
64,69709,64,733,55920,13789
101,69810,101,734,56001,13809
101,69911,101,735,56085,13826
101,70012,101,736,56164,13848
101,70113,101,737,56246,13867
101,70214,101,738,56326,13888
101,70315,101,739,56404,13911
101,70416,101,740,56485,13931
101,70517,101,741,56557,13960
101,70618,101,742,56631,13987
101,70719,101,743,56706,14013
101,70820,101,744,56790,14030
67,70887,67,745,56848,14039
113,71000,113,746,56940,14060
51,71051,51,747,56982,14069
101,71152,101,748,57065,14087
101,71253,101,749,57146,14107
101,71354,101,750,57222,14132
101,71455,101,751,57300,14155
101,71556,101,752,57381,14175
117,71673,117,753,57476,14197
101,71774,101,754,57555,14219
48,71822,48,755,57598,14224
57,71879,57,756,57645,14234
101,71980,101,757,57718,14262
90,72070,90,758,57789,14281
103,72173,103,759,57870,14303
101,72274,101,760,57955,14319
101,72375,101,761,58038,14337
101,72476,101,762,58123,14353
101,72577,101,763,58198,14379
101,72678,101,764,58274,14404
101,72779,101,765,58353,14426
105,72884,105,766,58434,14450
110,72994,110,767,58524,14470
101,73095,101,768,58605,14490
103,73198,103,769,58689,14509
101,73299,101,770,58770,14529
101,73400,101,771,58859,14541
107,73507,107,772,58946,14561
101,73608,101,773,59025,14583
101,73709,101,774,59105,14604
106,73815,106,775,59195,14620
105,73920,105,776,59281,14639
36,73956,36,777,59311,14645
101,74057,101,778,59390,14667
101,74158,101,779,59472,14686
101,74259,101,780,59549,14710
101,74360,101,781,59634,14726
101,74461,101,782,59710,14751
101,74562,101,783,59792,14770
101,74663,101,784,59871,14792
101,74764,101,785,59950,14814
101,74865,101,786,60031,14834
101,74966,101,787,60111,14855
101,75067,101,788,60191,14876
101,75168,101,789,60274,14894
43,75211,43,790,60312,14899
116,75327,116,791,60408,14919
101,75428,101,792,60493,14935
101,75529,101,793,60574,14955
101,75630,101,794,60655,14975
32,75662,32,795,60685,14977
101,75763,101,796,60765,14998
101,75864,101,797,60844,15020
101,75965,101,798,60922,15043
137,76102,137,799,61031,15071
104,76206,104,800,61116,15090
105,76311,105,801,61198,15113
101,76412,101,802,61281,15131
111,76523,111,803,61369,15154
101,76624,101,804,61451,15173
103,76727,103,805,61536,15191
101,76828,101,806,61618,15210
51,76879,51,807,61663,15216
100,76979,100,808,61745,15234
110,77089,110,809,61831,15258
112,77201,112,810,61915,15286
101,77302,101,811,61995,15307
101,77403,101,812,62080,15323
101,77504,101,813,62162,15342
101,77605,101,814,62247,15358
101,77706,101,815,62325,15381
61,77767,61,816,62377,15390
101,77868,101,817,62461,15407
101,77969,101,818,62543,15426
101,78070,101,819,62625,15445
101,78171,101,820,62710,15461
101,78272,101,821,62787,15485
101,78373,101,822,62876,15497
101,78474,101,823,62960,15514
36,78510,36,824,62989,15521
101,78611,101,825,63067,15544
101,78712,101,826,63153,15559
101,78813,101,827,63232,15581
32,78845,32,828,63262,15583
101,78946,101,829,63341,15605
103,79049,103,830,63427,15622
101,79150,101,831,63506,15644
106,79256,106,832,63590,15666
101,79357,101,833,63670,15687
106,79463,106,834,63759,15704
88,79551,88,835,63835,15716
101,79652,101,836,63913,15739
101,79753,101,837,63997,15756
101,79854,101,838,64076,15778
101,79955,101,839,64148,15807
101,80056,101,840,64227,15829
32,80088,32,841,64258,15830
101,80189,101,842,64333,15856
101,80290,101,843,64412,15878
101,80391,101,844,64491,15900
101,80492,101,845,64577,15915
97,80589,97,846,64659,15930
101,80690,101,847,64745,15945
101,80791,101,848,64824,15967
101,80892,101,849,64905,15987
52,80944,52,850,64946,15998
41,80985,41,851,64981,16004
101,81086,101,852,65062,16024
101,81187,101,853,65139,16048
101,81288,101,854,65218,16070
101,81389,101,855,65303,16086
101,81490,101,856,65377,16113
101,81591,101,857,65461,16130
101,81692,101,858,65546,16146
101,81793,101,859,65623,16170
101,81894,101,860,65706,16188
101,81995,101,861,65790,16205
111,82106,111,862,65881,16225
101,82207,101,863,65963,16244
101,82308,101,864,66044,16264
105,82413,105,865,66127,16286
101,82514,101,866,66199,16315
101,82615,101,867,66274,16341
83,82698,83,868,66345,16353
101,82799,101,869,66424,16375
101,82900,101,870,66505,16395
101,83001,101,871,66589,16412
101,83102,101,872,66673,16429
101,83203,101,873,66747,16456
101,83304,101,874,66827,16477
101,83405,101,875,66904,16501
101,83506,101,876,66983,16523
80,83586,80,877,67048,16538
101,83687,101,878,67128,16559
101,83788,101,879,67205,16583
145,83933,145,880,67324,16609
101,84034,101,881,67408,16626
101,84135,101,882,67487,16648
101,84236,101,883,67565,16671
101,84337,101,884,67635,16702
101,84438,101,885,67713,16725
101,84539,101,886,67799,16740
101,84640,101,887,67883,16757
114,84754,114,888,67973,16781
101,84855,101,889,68054,16801
101,84956,101,890,68134,16822
41,84997,41,891,68168,16829
101,85098,101,892,68254,16844
101,85199,101,893,68337,16862
98,85297,98,894,68420,16877
101,85398,101,895,68497,16901
103,85501,103,896,68584,16917
106,85607,106,897,68668,16939
101,85708,101,898,68748,16960
101,85809,101,899,68829,16980
101,85910,101,900,68898,17012
47,85957,47,901,68936,17021
101,86058,101,902,69017,17041
101,86159,101,903,69096,17063
109,86268,109,904,69180,17088
101,86369,101,905,69260,17109
101,86470,101,906,69342,17128
32,86502,32,907,69372,17130
101,86603,101,908,69452,17151
87,86690,87,909,69521,17169
101,86791,101,910,69610,17181
32,86823,32,911,69636,17187
101,86924,101,912,69713,17211
101,87025,101,913,69790,17235
101,87126,101,914,69870,17256
110,87236,110,915,69966,17270
101,87337,101,916,70043,17294
101,87438,101,917,70126,17312
101,87539,101,918,70207,17332
101,87640,101,919,70289,17351
101,87741,101,920,70378,17363
101,87842,101,921,70449,17393
101,87943,101,922,70534,17409
101,88044,101,923,70619,17425
101,88145,101,924,70706,17439
101,88246,101,925,70786,17460
101,88347,101,926,70867,17480
101,88448,101,927,70951,17497
61,88509,61,928,70999,17510
101,88610,101,929,71081,17529
