iteration,successes,reward_episode,episode_count,random_act,timestep,epsilon
101,45147,202,447,10479,34668,0.02144673965459385
101,45248,202,448,10482,34766,0.021332842692000656
101,45349,202,449,10483,34866,0.021220079023120713
101,45450,202,450,10484,34966,0.02110843737149319
101,45551,202,451,10488,35063,0.02099790657285988
101,45652,202,452,10490,35162,0.020888475574048812
101,45753,202,453,10493,35260,0.020780133431868894
101,45854,202,454,10495,35359,0.020672869312015653
101,45955,202,455,10496,35459,0.020566672487987697
101,46056,202,456,10496,35560,0.02046153234001413
101,46157,202,457,10498,35659,0.02035743835399253
101,46258,202,458,10500,35758,0.020254380120437558
101,46359,202,459,10503,35856,0.02015234733343998
101,46460,202,460,10507,35953,0.020051329789636065
101,46561,202,461,10508,36053,0.01995131738718724
101,46662,202,462,10512,36150,0.019852300124769934
101,46763,202,463,10513,36250,0.019754268100575387
101,46864,202,464,10514,36350,0.019657211511319474
101,46965,202,465,10515,36450,0.0195611206512624
101,47066,202,466,10518,36548,0.01946598591123807
101,47167,202,467,10518,36649,0.01937179777769322
101,47268,202,468,10520,36748,0.019278546831735997
101,47369,202,469,10520,36849,0.019186223748194096
101,47470,202,470,10522,36948,0.01909481929468222
101,47571,202,471,10524,37047,0.019004324330678855
101,47672,202,472,10525,37147,0.018914729806612192
101,47773,202,473,10531,37242,0.01882602676295516
101,47874,202,474,10532,37342,0.018738206329329453
101,47975,202,475,10535,37440,0.018651259723618557
101,48076,202,476,10538,37538,0.01856517825108943
101,48177,202,477,10540,37637,0.018479953303523082
101,48278,202,478,10540,37738,0.018395576358353725
101,48379,202,479,10540,37839,0.018312038977816556
101,48480,202,480,10542,37938,0.018229332808103887
101,48581,202,481,10545,38036,0.01814744957852983
101,48682,202,482,10548,38134,0.01806638110070318
101,48783,202,483,10549,38234,0.01798611926770862
101,48884,202,484,10555,38329,0.017906656053295947
101,48985,202,485,10556,38429,0.017827983511077505
101,49086,202,486,10558,38528,0.01775009377373351
101,49187,202,487,10559,38628,0.017672979052225327
101,49288,202,488,10559,38729,0.017596631635016534
101,49389,202,489,10561,38828,0.01752104388730179
101,49490,202,490,10562,38928,0.017446208250243338
101,49591,202,491,10566,39025,0.017372117240215094
101,49692,202,492,10568,39124,0.01729876344805433
101,49793,202,493,10572,39221,0.0172261395383207
101,49894,202,494,10574,39320,0.017154238248562697
101,49995,202,495,10576,39419,0.017083052388591435
101,50096,202,496,10577,39519,0.017012574839761596
101,50197,202,497,10579,39618,0.01694279855425957
101,50298,202,498,10581,39717,0.016873716554398652
101,50399,202,499,10582,39817,0.016805321931921288
101,50500,202,500,10584,39916,0.01673760784730824
101,50601,202,501,10584,40017,0.016670567529094613
101,50702,202,502,10588,40114,0.01660419427319272
101,50803,202,503,10589,40214,0.016538481442221656
101,50904,202,504,10592,40312,0.016473422464843575
101,51005,202,505,10593,40412,0.01640901083510651
101,51106,202,506,10593,40513,0.01634524011179382
101,51207,202,507,10593,40614,0.016282103917780018
101,51308,202,508,10594,40714,0.01621959593939311
101,51409,202,509,10601,40808,0.016157709925783147
101,51510,202,510,10603,40907,0.016096439688297208
101,51611,202,511,10605,41006,0.016035779099860478
101,51712,202,512,10609,41103,0.01597572209436357
101,51813,202,513,10609,41204,0.015916262666055885
101,51914,202,514,10612,41302,0.015857394868945038
101,52015,202,515,10614,41401,0.015799112816202266
101,52116,202,516,10615,41501,0.01574141067957372
101,52217,202,517,10617,41600,0.01568428268879766
101,52318,202,518,10619,41699,0.0156277231310274
101,52419,202,519,10619,41800,0.015571726350260025
101,52520,202,520,10621,41899,0.015516286746770792
101,52621,202,521,10622,41999,0.015461398776553163
101,52722,202,522,10625,42097,0.015407056950764372
101,52823,202,523,10626,42197,0.01535325583517655
101,52924,202,524,10627,42297,0.015299990049633304
101,53025,202,525,10627,42398,0.015247254267511699
101,53126,202,526,10628,42498,0.015195043215189571
101,53227,202,527,10629,42598,0.015143351671518179
101,53328,202,528,10630,42698,0.015092174467300075
101,53429,202,529,10631,42798,0.015041506484772198
101,53530,202,530,10632,42898,0.01499134265709407
101,53631,202,531,10632,42999,0.014941677967841115
101,53732,202,532,10633,43099,0.01489250745050302
101,53833,202,533,10635,43198,0.014843826187987082
101,53934,202,534,10637,43297,0.014795629312126479
101,54035,202,535,10637,43398,0.014747912003193458
101,54136,202,536,10638,43498,0.014700669489417359
101,54237,202,537,10639,43598,0.014653897046507443
101,54338,202,538,10639,43699,0.01460758999718044
101,54439,202,539,10640,43799,0.014561743710692824
101,54540,202,540,10643,43897,0.014516353602377746
101,54641,202,541,10643,43998,0.01447141513318654
101,54742,202,542,10643,44099,0.014426923809234849
101,54843,202,543,10643,44200,0.014382875181353196
101,54944,202,544,10643,44301,0.01433926484464209
101,55045,202,545,10644,44401,0.014296088438031505
101,55146,202,546,10646,44500,0.014253341643844817
101,55247,202,547,10647,44600,0.014211020187366974
101,55348,202,548,10650,44698,0.014169119836417065
101,55449,202,549,10653,44796,0.01412763640092507
101,55550,202,550,10654,44896,0.014086565732512882
101,55651,202,551,10657,44994,0.014045903724079427
101,55752,202,552,10658,45094,0.014005646309389977
101,55853,202,553,10660,45193,0.013965789462669513
101,55954,202,554,10662,45292,0.013926329198200155
101,56055,202,555,10666,45389,0.013887261569922569
101,56156,202,556,10668,45488,0.01384858267104137
101,56257,202,557,10671,45586,0.013810288633634434
101,56358,202,558,10672,45686,0.013772375628266116
101,56459,202,559,10675,45784,0.013734839863604284
101,56560,202,560,10679,45881,0.013697677586041186
101,56661,202,561,10680,45981,0.0136608850793181
101,56762,202,562,10680,46082,0.013624458664153696
101,56863,202,563,10682,46181,0.013588394697876097
101,56964,202,564,10682,46282,0.013552689574058628
101,57065,202,565,10683,46382,0.013517339722159148
101,57166,202,566,10683,46483,0.013482341607163007
101,57267,202,567,10685,46582,0.013447691729229546
101,57368,202,568,10689,46679,0.013413386623342096
101,57469,202,569,10690,46779,0.013379422858961477
101,57570,202,570,10690,46880,0.013345797039682946
101,57671,202,571,10691,46980,0.01331250580289656
101,57772,202,572,10693,47079,0.013279545819450893
101,57873,202,573,10698,47175,0.013246913793320138
101,57974,202,574,10699,47275,0.01321460646127448
101,58075,202,575,10701,47374,0.013182620592553802
101,58176,202,576,10703,47473,0.01315095298854457
101,58277,202,577,10704,47573,0.013119600482459998
101,58378,202,578,10705,47673,0.013088559939023343
101,58479,202,579,10706,47773,0.013057828254154401
101,58580,202,580,10707,47873,0.013027402354659073
