iteration,successes,reward_episode,episode_count,random_act,timestep
32,59088,32,621,47463,11625
101,59189,101,622,47541,11648
101,59290,101,623,47623,11667
101,59391,101,624,47702,11689
101,59492,101,625,47779,11713
107,59599,107,626,47868,11731
101,59700,101,627,47952,11748
102,59802,102,628,48028,11774
108,59910,108,629,48109,11801
101,60011,101,630,48186,11825
32,60043,32,631,48216,11827
101,60144,101,632,48291,11853
101,60245,101,633,48372,11873
101,60346,101,634,48452,11894
101,60447,101,635,48526,11921
101,60548,101,636,48599,11949
101,60649,101,637,48681,11968
101,60750,101,638,48763,11987
109,60859,109,639,48848,12011
101,60960,101,640,48923,12037
101,61061,101,641,49005,12056
101,61162,101,642,49089,12073
101,61263,101,643,49166,12097
101,61364,101,644,49250,12114
101,61465,101,645,49336,12129
32,61497,32,646,49363,12134
53,61550,53,647,49405,12145
64,61614,64,648,49459,12155
101,61715,101,649,49538,12177
107,61822,107,650,49621,12201
81,61903,81,651,49683,12220
41,61944,41,652,49717,12227
101,62045,101,653,49795,12250
101,62146,101,654,49878,12268
79,62225,79,655,49943,12282
51,62276,51,656,49988,12288
101,62377,101,657,50063,12314
51,62428,51,658,50106,12322
101,62529,101,659,50184,12345
102,62631,102,660,50267,12364
101,62732,101,661,50346,12386
101,62833,101,662,50431,12402
101,62934,101,663,50509,12425
101,63035,101,664,50589,12446
101,63136,101,665,50674,12462
101,63237,101,666,50756,12481
101,63338,101,667,50838,12500
101,63439,101,668,50914,12525
108,63547,108,669,51006,12541
101,63648,101,670,51084,12564
101,63749,101,671,51162,12587
32,63781,32,672,51190,12591
101,63882,101,673,51270,12612
103,63985,103,674,51360,12625
101,64086,101,675,51441,12645
101,64187,101,676,51514,12673
101,64288,101,677,51595,12693
109,64397,109,678,51684,12713
101,64498,101,679,51758,12740
101,64599,101,680,51839,12760
101,64700,101,681,51918,12782
101,64801,101,682,51991,12810
101,64902,101,683,52076,12826
101,65003,101,684,52165,12838
101,65104,101,685,52246,12858
121,65225,121,686,52342,12883
101,65326,101,687,52416,12910
101,65427,101,688,52498,12929
101,65528,101,689,52577,12951
111,65639,111,690,52663,12976
101,65740,101,691,52748,12992
101,65841,101,692,52828,13013
101,65942,101,693,52908,13034
101,66043,101,694,52993,13050
101,66144,101,695,53081,13063
67,66211,67,696,53134,13077
101,66312,101,697,53214,13098
101,66413,101,698,53294,13119
32,66445,32,699,53322,13123
101,66546,101,700,53401,13145
101,66647,101,701,53483,13164
101,66748,101,702,53563,13185
115,66863,115,703,53657,13206
101,66964,101,704,53742,13222
101,67065,101,705,53822,13243
101,67166,101,706,53899,13267
95,67261,95,707,53983,13278
101,67362,101,708,54055,13307
32,67394,32,709,54085,13309
101,67495,101,710,54166,13329
101,67596,101,711,54250,13346
101,67697,101,712,54327,13370
101,67798,101,713,54404,13394
101,67899,101,714,54483,13416
101,68000,101,715,54563,13437
32,68032,32,716,54591,13441
101,68133,101,717,54674,13459
101,68234,101,718,54754,13480
101,68335,101,719,54824,13511
32,68367,32,720,54855,13512
101,68468,101,721,54936,13532
101,68569,101,722,55012,13557
101,68670,101,723,55090,13580
101,68771,101,724,55174,13597
101,68872,101,725,55248,13624
107,68979,107,726,55335,13644
101,69080,101,727,55420,13660
101,69181,101,728,55498,13683
101,69282,101,729,55583,13699
101,69383,101,730,55659,13724
101,69484,101,731,55732,13752
58,69542,58,732,55780,13762
101,69643,101,733,55862,13781
66,69709,66,734,55920,13789
101,69810,101,735,56001,13809
101,69911,101,736,56085,13826
101,70012,101,737,56164,13848
101,70113,101,738,56246,13867
101,70214,101,739,56326,13888
101,70315,101,740,56404,13911
101,70416,101,741,56485,13931
101,70517,101,742,56557,13960
101,70618,101,743,56631,13987
101,70719,101,744,56706,14013
101,70820,101,745,56790,14030
67,70887,67,746,56848,14039
114,71001,114,747,56941,14060
49,71050,49,748,56981,14069
101,71151,101,749,57064,14087
101,71252,101,750,57145,14107
101,71353,101,751,57222,14131
101,71454,101,752,57299,14155
101,71555,101,753,57380,14175
106,71661,106,754,57471,14190
101,71762,101,755,57546,14216
